id,fecha,cuenta,texto,sustantivos,adjetivos,verbos,personas,organizaciones,lugares,matcheos
1621883514860748801,2023-02-04,Javier Milei,"""Zurdos le suplican a la policía que los defienda de los gauchos. Si, son los mismos que siempre los putean. Que hermoso todo. 🤣🤣 https://t.co/khdjqHaXOM""","policía-25,gaucho-57",hermoso-113,"defender-41,ser-70,🤣-127","","","",policía
1621855827383521283,2023-02-04,Javier Milei,"""Y si apuestan a alguien con ideas no peronistas/socialistas? Digo, para probar algo que no se haya probado en los últimos 70 años. https://t.co/5NI4RkOuYG""","ideo-29,peronista-38,socialista-49,año-126",último-115,"digo-62,probar-73,haber-95,probar-100",https://t.co/5NI4RkOuYG-132,"","",robar
1621825760116805633,2023-02-04,Javier Milei,"""Ayer mi abuela iba al super y pasa un pendejo en una bici y le manotea la cartera. Mi abuela le grita: ""No te da vergüenza robarle a una señora mayor?!"" El pendejo dio media vuelta, se bajo de la bici, y le saco el celular del bolsillo. Quedó respondida la duda de mi abuela! https://t.co/kyTudEUeLL""","abuelo-9,pendejo-39,bici-54,cartero-75,abuelo-87,vergüenza-114,señor-138,volver-175,bici-197,celular-216,bolsillo-228,dudar-258,abuelo-269","mayor-145,responder-244","paso-31,manotear-64,gritar-97,dar-111,robarle-124,dar-165,sacar-208,quedó-238",Quedó-238,"","",robar
1621732941188546563,2023-02-04,Javier Milei,"""“16 años”:\nPorque salió a robar en el conurbano y lo fajaron entre todos https://t.co/9AkS5jUaYA""","conurbano-40,https://t.co/9aks5juaya-75","","salir-20,robar-28,fajar-55","","","",robar
1621642414346698762,2023-02-03,Javier Milei,"""Les cortan los planes sociales y responden con violencia complicándole la vida a miles de personas.\n\nNo hay que dudarlo ni un segundo y meter presos a cada uno de los piqueteros. Basta de dejarnos pisar. https://t.co/WboQKX6Qvl""","plan-16,violencia-48,vida-75,personas.\n\nno-91,segundar-129,preso-145,piqueteros-170,https://t.co/wboqkx6qvl-207","social-23,complicándole-58","dudarlo-115,meter-139,basta-182,dejarnos-191,pisar-200","","","Basta-182,https://t.co/WboQKX6Qvl-207",violencia
1621641915190939653,2023-02-03,Javier Milei,"""Imperdible. Larreta es igual a los K: le encanta el keynesianismo para poder robar con la obra pública, descalifica al campo y culpa a los monopolios por la inflación. \nNo permitamos que esta lacra de buenos modales que dice lo mismo que los K llegue al gobierno.\nMILEI O EZEIZA. https://t.co/OsVBgdKqQL""","keynesianismo-53,obrar-91,campar-120,culpar-128,monopolio-140,inflación-158,\nno-169,lacrar-194,modal-210,https://t.co/osvbgdkqql-283","imperdible-1,igual-24,público-96,bueno-203","encantar-42,poder-72,robar-78,descalificar-105,permitir-174,decir-222,llegar-246",Larreta-13,O EZEIZA-273,"",robar
1621561855461171260,2023-02-03,Javier Milei,"""No se usó el caso Lucio para atacar al feminismo, como dice la ministra de las Mujeres. Lo que se ataca es la ideología de género que fomenta el odio hacia el hombre y que terminó en el crimen más horroroso de la historia argentina...""","casar-14,feminismo-40,ministro-64,ideología-111,género-124,odiar-146,hombre-160,crimen-187,historia-214","horroroso-198,argentino-223","usar-7,atacar-30,decir-56,atacar-99,fomentar-135,terminar-173",Lucio-19,"","",crimen
1621554337175535617,2023-02-03,Javier Milei,"""Michael Jackson doing the robot on the Cher Show, 1975 https://t.co/3770KPtoUa""",1975-51,"","",Michael Jackson-1,"","",robo
1621443455066034179,2023-02-03,Javier Milei,"""En Argentina nos gobiernan unos idiotas e ineptos que la única habilidad que tienen es robar y empobrecernos cada día más.""","idiota-33,inepto-43,habilidad-64,día-115",único-58,"robar-88,empobrecernos-96","","",Argentina-4,robar
1621297428803510272,2023-02-03,Javier Milei,"""El FGS detonando la paridad sobre el cierre para bajar el tipo de cambio libre. Ya le dije a varios diputados que es cuestión de hacer un pedido de informes para comprobar esto. Yo les digo como hacerlo pero parece que nadie quiere tomar la posta. https://t.co/03nXvhKwOV""","paridad-21,cerrar-38,tipo-59,cambiar-67,diputar-101,cuestión-118,pedir-139,informe-149,posta-242","librar-74,https://t.co/03nxvhkwov-249","detonar-8,bajar-50,decir-87,hacer-130,comprobar-163,decir-186,hacerlo-196,parecer-209,querer-226,tomar-233","",FGS-4,"",robar
